Index,Food_name,Cuisine_id,Calories,Fat,Carbohydrates,Protein,Sodium,Meal_type_id,Veg_non_veg,Expected Price
42,Yaki Udon,Teriyaki,198,3.8,33,7.6,701,Wheat based,V,300
43,Vegetable Tempura,Teriyaki,198,8.8,27,2.9,482,Wheat based,V,250
44,Gyoza,Teriyaki,222,8,26,11,536,Wheat based,NV,200
45,Chicken Yakitori,Teriyaki,216,9.4,13.3,21.3,639,Meat based,NV,250
46,Butter Chicken,Curry,311,17.4,15.4,22.7,680,Meat based,NV,400
47,Chana Masala,Curry,166,6.3,20.3,6.7,283,Vegetarian based,V,250
48,Rogan Josh,Curry,211,12.3,7.6,17.8,776,Meat based,NV,450
49,Palak Paneer,Curry,117,7.2,7.6,5.6,370,Vegetarian based,V,300
50,Chicken Tikka Masala,Curry,299,16.5,16.5,20.5,800,Meat based,NV,400
51,Aloo Gobi,Curry,120,7,11,3,330,Vegetarian based,V,200
52,Beef Vindaloo,Curry,201,11.8,7.6,17.8,800,Meat based,NV,450
53,Chicken Korma,Curry,246,17,8.7,14,631,Meat based,NV,400
54,Paneer Makhani,Curry,303,21,13,12,600,Vegetarian based,V,350
55,Gongura Chicken,Andhra,290,13,8,33,880,Meat based,NV,350
56,Pesarattu,Andhra,129,2.5,23,5,5,Wheat based,V,80
57,Andhra Chicken Fry,Andhra,250,12,14,23,640,Meat based,NV,300
58,Gutti Vankaya,Andhra,170,8,18,4,120,Vegetarian based,V,180
59,Royyala Vepudu,Andhra,232,12,15,18,718,Sea food based,NV,400
60,Kobbari Pachadi,Andhra,240,19,13,4,160,Vegetarian based,V,150
61,Andhra Mutton Biryani,Andhra,350,12,33,20,800,Rice based,NV,450
62,Potlakaya Pulusu,Andhra,120,6,9,7,270,Vegetarian based,V,150
63,Andhra Prawn Curry,Andhra,186,12,7,12,734,Sea food based,NV,350
64,Avakaya,Andhra,280,21,12,8,120,Vegetarian based,V,200
65,Kodi Pulao,Andhra,277,13,27,15,666,Rice based,NV,350
66,Ulavacharu,Andhra,70,0.6,15,3,60,Vegetarian based,V,100
67,Rayalaseema Ruchulu Special Biryani,Andhra,368,19.7,41.1,8.9,958,Rice based,NV,500
68,Mirchi Bajji,Andhra,180,7,13,3,200,Vegetarian based,V,100
69,Andhra Chepala Pulusu,Andhra,124,6.7,7.8,8.7,163,Sea food based,NV,350
70,Chocolate Ice Cream,Ice cream,216,13,24,3.4,80,Milk based,V,150
71,Vanilla Ice Cream,Ice cream,207,11,26,3.7,93,Milk based,V,150
72,Strawberry Ice Cream,Ice cream,220,12,26,3.1,75,Milk based,V,180
73,Mint Chocolate Chip Ice Cream,Ice cream,262,15,28,3.1,71,Milk based,V,200
74,Cookies and Cream Ice Cream,Ice cream,267,14,34,3.3,122,Milk based,V,200
75,Rocky Road Ice Cream,Ice cream,270,14,32,3.1,110,Milk based,V,200
76,Mango Ice Cream,Ice cream,187,9.5,27,2.5,56,Milk based,V,160
77,Pistachio Ice Cream,Ice cream,270,14,28,3.7,107,Milk based,V,200
78,Butter Pecan Ice Cream,Ice cream,290,18,28,3.3,75,Milk based,V,220
79,Caramel Ice Cream,Ice cream,280,16,31,3.1,100,Milk based,V,200
80,Coffee Ice Cream,Ice cream,267,16,25,3.1,85,Milk based,V,180
81,Raspberry Sorbet,Ice cream,140,0,37,0.3,3,Fruits,V,160
82,Lemon Sorbet,Ice cream,127,0,32,0.4,4,Fruits,V,160
83,Strawberry Sorbet,Ice cream,165,0.5,41,0.4,2,Fruits,V,180
84,Chocolate Sorbet,Ice cream,212,3.3,46,3.3,19,Fruits,V,200
85,Grilled Chicken Breast,Healthy food,165,3.6,0,31,63,Meat based,NV,250
86,Grilled Salmon,Healthy food,206,13,0,22,50,Sea food based,NV,450
87,Grilled Tofu,Healthy food,144,7,4,16,4,Vegetarian based,V,150
88,Greek Salad,Healthy food,118,9,4,3,308,Salad based,V,200
89,Tuna Salad,Healthy food,168,9,5,18,392,Sea food based,NV,300
90,Veggie Wrap,Healthy food,156,8,21,3,331,Wheat based,V,200
91,Quinoa Salad,Healthy food,120,2,21,4,2,Salad based,V,250
92,Hummus,Healthy food,177,10,17,7,320,Vegetarian based,V,150
93,Chia Pudding,Healthy food,90,5,8,3,1,Milk based,V,150
94,Baked Sweet Potato,Healthy food,90,0.2,21,2,41,Vegetarian based,V,100
95,Avocado Toast,Healthy food,219,15,18,5,176,Wheat based,V,300
96,Spinach and Mushroom Omelette,Healthy food,80,5.5,2,6,221,Milk based,V,150
97,Turkey and Cheese Roll-ups,Healthy food,120,6,4,12,420,Meat based,NV,250
98,Grilled Shrimp Skewers,Healthy food,143,2,2,28,392,Sea food based,NV,400
99,Steamed Broccoli,Healthy food,55,0.6,11,3,33,Vegetarian based,V,100
100,Kiwi Smoothie,Kiwi,80,0.4,20.3,1.1,3,Fruits,V,80
101,Kiwi Salad,Kiwi,67,0.4,15.9,1.4,4,Salad based,V,120
102,Kiwi Jam,Kiwi,207,0.4,55.8,0.7,6,Vegetarian based,V,250
103,Kiwi Chicken,Kiwi,183,7.6,9.6,20.6,407,Meat based,NV,300
104,Kiwi Quinoa Salad,Kiwi,89,2.1,14.3,3.4,4,Wheat based,V,150
105,Kiwi Salsa,Kiwi,23,0.3,5.7,0.5,47,Salad based,V,90
106,Kiwi Chia Pudding,Kiwi,113,5.2,16.1,2.7,10,Milk based,V,120
107,Kiwi Chicken Wrap,Kiwi,217,6.7,24.9,14.7,600,Wheat based,NV,200
108,Kiwi Tuna Salad,Kiwi,80,0.9,9.6,7.6,168,Sea food based,NV,300
109,Kiwi Yogurt Parfait,Kiwi,75,2.2,10.6,2.6,25,Milk based,V,100
110,Kiwi Energy Balls,Kiwi,343,4.4,70.5,6.5,5,Vegetarian based,V,200
111,Kiwi Fruit Salad,Kiwi,63,0.4,15.4,1.1,2,Fruits,V,70
112,Kiwi Sorbet,Kiwi,110,0,28,1,2,Dessert,V,120
113,Kiwi Chicken Curry,Kiwi,168,7.2,8.4,18.4,395,Meat based,NV,250
114,Kiwi Smoothie Bowl,Kiwi,87,1,19,2.8,10,Fruits,V,150
115,French fries,Fast Food,312,15,41,3.4,246,Junk food,V,50
116,Hamburger,Fast Food,295,11,32,15,672,Meat based,NV,80
117,Cheeseburger,Fast Food,303,12,31,16,832,Meat based,NV,85
118,Chicken nuggets,Fast Food,290,18,14,14,510,Meat based,NV,90
119,Onion rings,Fast Food,327,17,38,4,575,Junk food,V,55
120,Hot dog,Fast Food,250,14,20,10,950,Meat based,NV,75
121,Pizza,Fast Food,266,10,31,11,480,Junk food,V,120
122,Fried chicken,Fast Food,280,20,13,15,672,Meat based,NV,100
123,Taco,Fast Food,226,12,18,11,678,Meat based,NV,70
124,Burrito,Fast Food,163,5.6,22,6.1,400,Meat based,NV,65
125,Fried fish,Fast Food,232,12,17,13,464,Sea food based,NV,120
126,Grilled sandwich,Fast Food,249,11,25,11,540,Wheat based,V,70
127,Chips,Fast Food,312,15,41,3.4,246,Junk food,V,45
128,Chicken burger,Fast Food,303,12,31,16,832,Meat based,NV,80
129,Chilli cheese fries,Fast Food,312,15,41,3.4,246,Junk food,V,60
130,Jollof rice,African,165,3.3,30.8,3.7,196,Rice based,V,90
131,Ewa agonyin,African,160,2.5,30,5.5,200,Vegetarian based,V,70
132,Pounded yam,African,116,0.5,27,1.5,2,Rice based,V,80
133,Chin chin,African,502,24,63,6,166,Junk food,V,60
134,Suya,African,268,18,2,24,1100,Meat based,NV,120
135,Kelewele,African,137,0.3,37.7,1.3,9,Junk food,V,50
136,Attiéké,African,170,0.4,40,2.4,11,Rice based,V,80
137,Chakalaka,African,86,1.6,15.6,2.3,142,Salad based,V,60
138,Scotch broth,Scottish,43,1.3,6.3,2.3,345,Meat based,NV,120
139,Haggis,Scottish,250,16.0,10.0,14.0,670,Meat based,NV,450
140,Fried Mars bar,Scottish,460,25.0,50.0,4.0,230,Junk food,NV,150
141,Black pudding,Scottish,320,22.0,3.8,26.0,800,Meat based,NV,280
142,Cullen skink,Scottish,61,3.1,6.8,1.9,269,Sea food based,NV,180
143,Cranachan,Scottish,151,8.6,14.6,3.6,21,Milk based,V,350
144,Arbroath smokie,Scottish,170,6.0,0.0,28.0,1,Sea food based,NV,450
145,Fish supper,Scottish,209,10.0,20.0,9.0,300,Sea food based,NV,320
146,Stovies,Scottish,101,4.0,8.0,7.0,290,Meat based,NV,150
147,Bridies,Scottish,275,12.0,32.0,9.0,550,Meat based,NV,230
148,Neeps and tatties,Scottish,48,0.3,10.3,1.3,1,Vegetarian based,V,80
149,Scottish salmon,Scottish,208,12.0,0.0,22.0,60,Sea food based,NV,700
150,Shortbread,Scottish,500,27.5,60.0,5.5,225,Milk based,V,120
151,Scotch pie,Scottish,335,21.5,22.5,10.5,575,Meat based,NV,210
152,Tablet,Scottish,383,7.5,77.5,1.5,225,Milk based,V,80
153,Fish and Chips,British,292,14,24,14,350,Meat based,NV,200
154,Shepherd's Pie,British,117,3.8,14,6.3,273,Meat based,NV,150
155,Bangers and Mash,British,224,16,8.4,10,700,Meat based,NV,180
156,Full English Breakfast,British,290,20,19,8.8,1010,Meat based,NV,250
157,Beef Wellington,British,373,23,20,20,263,Meat based,NV,500
158,Ploughman's Lunch,British,203,12,20,7.8,660,Meat based,V,180
159,Cornish Pasty,British,265,15,23,7,470,Meat based,NV,100
160,Toad in the Hole,British,193,10,18,6.5,480,Meat based,NV,170
161,Steak and Kidney Pie,British,215,10,21,11,310,Meat based,NV,350
162,Black Pudding,British,339,29,9.6,14,800,Meat based,NV,80
163,Scotch Egg,British,300,21,18,9.9,689,Meat based,NV,120
164,Beef and Ale Stew,British,117,2.2,8.5,16,360,Meat based,NV,200
165,Sticky Toffee Pudding,British,295,8.1,52,3.3,250,Dessert,V,100
166,Trifle,British,140,7,18,2.9,130,Dessert,V,150
167,Apple Pie,British,243,10,37,1.6,103,Dessert,V,180
168,Coca-Cola,Beverage,42,0,11,0,10,Beverage,V,50
169,Sprite,Beverage,39,0,10,0,9,Beverage,V,50
170,Fanta,Beverage,41,0,11,0,10,Beverage,V,50
171,Pepsi,Beverage,41,0,11,0,9,Beverage,V,50
172,Diet Coke,Beverage,0,0,0,0,27,Beverage,V,60
173,Mountain Dew,Beverage,46,0,12,0,18,Beverage,V,60
174,Red Bull,Beverage,45,0,11,0.6,70,Beverage,V,100
175,Monster Energy,Beverage,54,0,14,1,370,Beverage,V,120
176,Cappuccino,Beverage,71,3.1,8.3,3.1,43,Beverage,V,120
177,Avocado Toast,Breakfast,160,10,15,5,160,Salad based,V,150
178,Ham and Cheese Omelette,Breakfast,220,15,2,18,420,Meat based,NV,200
179,Blueberry Pancakes,Breakfast,280,4,52,10,550,Wheat based,V,250
180,Granola with Yogurt,Breakfast,150,3,28,4,80,Milk based,V,180
181,Bagel with Cream Cheese,Breakfast,290,10,40,8,430,Wheat based,V,120
182,Scrambled Eggs with Toast,Breakfast,190,10,17,7,280,Wheat based,V,180
183,Fruit and Yogurt Parfait,Breakfast,120,2,23,5,70,Fruits,V,150
184,Banana Smoothie,Breakfast,120,1,28,2,10,Beverage,V,120
185,Breakfast Burrito,Breakfast,320,14,32,20,960,Wheat based,NV,220
186,English Breakfast,Breakfast,450,30,30,20,900,Meat based,NV,300
187,Cinnamon Roll,Breakfast,250,12,33,3,320,Wheat based,V,150
188,French Toast,Breakfast,280,12,31,10,360,Wheat based,V,200
189,Chia Seed Pudding,Breakfast,120,4,12,4,10,Milk based,V,200
190,Egg and Cheese Sandwich,Breakfast,260,12,21,14,480,Wheat based,NV,180
191,Breakfast Smoothie,Breakfast,150,2,28,4,30,Beverage,V,140
192,Doner Kebab,Turkish Pizza,270,16,18,15,680,Meat based,NV,250
193,Lahmacun,Turkish Pizza,170,5,25,5,380,Meat based,V,120
194,Adana Kebab,Turkish Pizza,300,20,5,25,780,Meat based,NV,300
195,Pide,Turkish Pizza,210,8,29,8,410,Meat based,V,150
196,Chicken Shawarma,Turkish Pizza,220,5,26,16,400,Meat based,NV,200
197,Iskender Kebab,Turkish Pizza,450,25,30,25,1100,Meat based,NV,350
198,Vegetarian Pide,Turkish Pizza,180,5,28,5,320,Vegetarian based,V,120
199,Simit,Turkish Pizza,250,10,35,6,290,Wheat based,V,100
200,Turkish Pizza,Turkish Pizza,280,15,23,14,570,Meat based,NV,200
201,Dhansak,Parsi,162,8.3,16.1,6.7,106,Meat based,NV,300
202,Akuri,Parsi,141,8.5,5.7,11.5,352,Meat based,NV,200
203,Parsi-style chicken farcha,Parsi,222,11.6,13.6,15.6,624,Meat based,NV,250
204,Bhakras,Parsi,310,13.5,46.5,5.5,140,Salad based,V,150
205,Parsi chicken curry,Parsi,139,6.6,9.6,10.6,278,Meat based,NV,200
206,Kolmi no patio,Parsi,116,3.3,8.1,13.9,366,Sea food based,NV,400
207,Parsi style chicken kebabs,Parsi,187,8.9,9.6,16.3,322,Meat based,NV,300
208,Papeta par eedu,Parsi,127,6.3,9.4,8.4,254,Meat based,NV,150
209,Patra ni machchi,Parsi,134,7.1,6.8,10.9,315,Sea food based,NV,500
210,Parsi style eggs,Parsi,127,7.9,3.3,10.3,245,Meat based,NV,100
211,Berry pulao,Parsi,183,9.2,25.7,2.8,94,Rice based,V,300
212,Sali boti,Parsi,212,12.5,10.7,15.8,438,Meat based,NV,400
213,Patrel biryani,Parsi,160,6.7,20.3,6.7,161,Rice based,V,350
214,Parsi-style chicken cutlets,Parsi,147,7.6,10.8,9.6,281,Meat based,NV,200
215,Lagan nu custard,Parsi,152,5.4,22.5,4.4,104,Milk based,V,150
216,Pho,Vietnamese,28,0.1,6.3,1.9,7,Meat based,NV,200
217,Goi Cuon,Vietnamese,75,0.8,14.5,2.5,135,Vegetarian based,V,150
218,Banh Mi,Vietnamese,250,8.5,34.5,9.5,450,Meat based,NV,300
219,Bun Cha,Vietnamese,130,1.5,16,10.5,550,Meat based,NV,250
220,Bo La Lot,Vietnamese,230,16,4,16,600,Meat based,NV,350
221,Com Tam,Vietnamese,190,4.2,30.8,3.9,300,Meat based,NV,200
222,Ca Phe Sua Da,Vietnamese,57,1,11.3,1,15,Beverage,V,100
223,Cha Gio,Vietnamese,300,18,15,20,750,Meat based,NV,300
224,Mi Quang,Vietnamese,80,1,15,4,200,Meat based,NV,150
225,Banh Xeo,Vietnamese,210,12,23,5,300,Meat based,NV,200
226,Com Rang,Vietnamese,170,5.5,26,3,250,Meat based,NV,150
227,Canh Chua,Vietnamese,50,0.5,5,5,500,Vegetarian based,V,100
228,Ga Nuong,Vietnamese,165,6,8,22,1000,Meat based,NV,250
229,Tofu Chien,Vietnamese,120,5.5,8,10,200,Vegetarian based,V,150
230,Chao,Vietnamese,80,1,15,4,200,Vegetarian based,V,100
231,Adobo,Filipino,230,15,3,20,1000,Meat based,NV,300
232,Kare-Kare,Filipino,300,25,8,15,750,Meat based,NV,350
233,Lechon,Filipino,360,25,0,30,350,Meat based,NV,400
234,Lumpia,Filipino,180,10,20,5,250,Vegetarian based,V,150
235,Sinigang,Filipino,50,0,10,2,200,Vegetarian based,V,100
236,Tocino,Filipino,320,15,25,20,800,Meat based,NV,250
237,Longganisa,Filipino,320,20,5,15,600,Meat based,NV,300
238,Asado,South American,256,16,0,24,65,Meat based,NV,400
239,Churrasco,South American,183,8,1,26,65,Meat based,NV,350
240,Feijao Tropeiro,South American,198,9,25,7,163,Vegetarian based,V,200
241,Ceviche,South American,88,1,12,9,210,Sea food based,NV,250
242,Arepas,South American,287,14,36,4,497,Wheat based,V,150
243,Empanadas,South American,329,18,34,9,574,Wheat based,NV,100
244,Locro,South American,86,1,14,7,168,Vegetarian based,V,150
245,Alfajores,South American,460,20,67,4,62,Dessert,V,50
246,Dulce de Leche,South American,313,6,56,8,187,Dessert,V,100
247,Churros,South American,398,17,50,7,149,Dessert,V,70
248,Tostones,South American,208,11,33,1,298,Vegetarian based,V,80
249,Cachapas,South American,177,4,33,4,259,Vegetarian based,V,120
250,Tamales,South American,239,9,32,7,245,Meat based,V,200
251,Quimbolitos,South American,215,7,34,3,75,Vegetarian based,V,80
252,Arroz con Pollo,South American,147,3,25,4,283,Meat based,NV,300
253,Croissant,Patisserie,406,23,45,7,502,Wheat based,V,50
254,Eclair,Patisserie,260,15,27,4,71,Milk based,V,70
255,Fruit Tart,Patisserie,170,7,27,2,57,Fruits,V,60
256,Palmier,Patisserie,493,23,62,5,135,Wheat based,V,40
257,Macaron,Patisserie,320,16,47,5,20,Milk based,V,80
258,Cannele,Patisserie,280,13,36,5,30,Wheat based,V,60
259,Brioche,Patisserie,342,17,43,8,340,Wheat based,V,50
260,Opera Cake,Patisserie,289,19,23,5,33,Milk based,V,120
261,Financier,Patisserie,435,28,36,8,335,Wheat based,V,50
262,Canelé de Bordeaux,Patisserie,328,15,43,6,19,Wheat based,V,80
263,Tiramisu,Patisserie,246,12,28,6,99,Milk based,V,100
264,Madeleine,Patisserie,369,20,42,5,342,Wheat based,V,30
265,Galette des Rois,Patisserie,327,22,25,6,186,Wheat based,V,100
266,Chausson aux pommes,Patisserie,272,14,33,4,163,Wheat based,V,60
267,Mille-Feuille,Patisserie,332,20,31,6,160,Wheat based,V,90
268,Chicken Alfredo,Cuisine Varies,191,7,15,17,333,Meat based,NV,300
269,Chicken Burger,Cuisine Varies,265,11,24,16,630,Junk food,NV,150
270,Fish and Chips,Cuisine Varies,274,14,26,11,398,Sea food based,NV,250
271,Mixed Grill,Cuisine Varies,286,14,0,39,471,Meat based,NV,500
272,Grilled Vegetables,Cuisine Varies,70,1,13,3,68,Vegetarian based,V,200
273,Caesar Salad,Cuisine Varies,132,10,6,5,363,Salad based,V,350
274,Pasta Arrabiata,Cuisine Varies,127,2,22,5,235,Wheat based,V,250
275,Beef Stroganoff,Cuisine Varies,176,10,6,17,380,Meat based,NV,450
276,Steak and Kidney Pie,Cuisine Varies,278,17,20,11,430,Meat based,NV,300
277,Falafel Wrap,Cuisine Varies,288,9,45,8,711,Wheat based,V,200
278,Beef Shawarma,Cuisine Varies,266,11,28,14,350,Meat based,NV,250
279,Chicken Tandoori,Cuisine Varies,165,3,3,28,340,Meat based,NV,350
280,Adana Kebab,Turkish,240,16,4,20,220,Meat based,NV,450
281,Doner Kebab,Turkish,301,17,9,27,775,Meat based,NV,300
282,Lahmacun,Turkish,288,10,36,9,422,Wheat based,NV,150
283,Kofte,Turkish,201,10,6,22,230,Meat based,NV,350
284,Manti,Turkish,258,11,29,12,305,Meat based,NV,400
285,Baklava,Turkish,296,16,36,3,82,Dessert,V,200
286,Turkish Delight,Turkish,326,0,80,0,10,Dessert,V,100
287,Iskender Kebab,Turkish,316,19,11,25,734,Meat based,NV,500
288,Pide,Turkish,258,9,34,9,271,Wheat based,V,150
289,Kebab Roll,Turkish,280,17,22,9,1000,Junk food,NV,250
290,Mercimek Corbasi,Turkish,66,3,7,3,307,Vegetarian based,V,100
291,Taco,Latin American,226,10,27,9,387,Meat based,NV,100
292,Burrito,Latin American,163,6,20,8,435,Meat based,NV,150
293,Chimichanga,Latin American,322,15,34,12,802,Meat based,NV,200
294,Tostadas,Latin American,130,5,15,5,365,Vegetarian based,V,80
295,Empanadas,Latin American,308,18,29,8,615,Meat based,NV,180
296,Pupusas,Latin American,138,5,21,4,341,Meat based,NV,100
297,Arepas,Latin American,149,3,28,3,205,Vegetarian based,V,80
298,Ceviche,Latin American,92,0.7,4.5,16,176,Sea food based,NV,250
299,Feijoada,Latin American,145,6,15,8,426,Meat based,NV,300
300,Churrasco,Latin American,345,22,0,33,868,Meat based,NV,500
301,Arroz con Pollo,Latin American,140,2,28,6,343,Meat based,NV,200
302,Tamales,Latin American,184,8,23,6,314,Meat based,NV,150
303,Barbecue Chicken,BBQ,239,6.4,6.4,37,340,Meat based,NV,300
304,Barbecue Pork Ribs,BBQ,361,23,0,37,919,Meat based,NV,500
305,Smoked Brisket,BBQ,320,22,0,27,110,Meat based,NV,450
306,Pulled Pork,BBQ,271,16,0,28,298,Meat based,NV,400
307,Grilled Shrimp,BBQ,99,1.5,0,20,230,Sea food based,NV,600
308,Barbecue Beef Sandwich,BBQ,237,6.9,28,13,545,Wheat based,NV,350
309,Grilled Corn,BBQ,86,1.2,18,3.2,15,Salad based,V,50
310,Barbecue Chicken Wings,BBQ,203,14,0,19,610,Meat based,NV,250
311,Barbecue Pork Chops,BBQ,221,11,0,30,740,Meat based,NV,550
312,Grilled Pineapple,BBQ,50,0,13,0.4,1,Fruits,V,100
313,Barbecue Shrimp Skewers,BBQ,114,0.7,0,23,298,Sea food based,NV,700
314,Barbecue Tofu,BBQ,144,8.1,4.4,13,4,Vegetarian based,V,250
315,Barbecue Lamb Chops,BBQ,282,20,0,24,70,Meat based,NV,600
316,Barbecue Ribeye Steak,BBQ,250,20,0,19,60,Meat based,NV,700
317,Grilled Zucchini,BBQ,17,0.3,3.1,1.2,5,Salad based,V,70
318,Rasgulla,Mithai,186,0.2,44.9,3.9,47,Dessert,V,25
319,Gulab Jamun,Mithai,354,5.1,73.5,6.5,170,Dessert,V,40
320,Kaju Katli,Mithai,553,32.5,49.2,13.3,3,Dessert,V,100
321,Barfi,Mithai,340,12.9,57.8,3.9,132,Dessert,V,60
322,Rasmalai,Mithai,331,17.3,37.9,8.2,129,Dessert,V,50
323,Peda,Mithai,374,17.6,48.7,9.3,170,Dessert,V,45
324,Ladoo,Mithai,387,12.7,69.3,3.7,57,Dessert,V,30
325,Jalebi,Mithai,459,25.1,54.6,5.6,59,Dessert,V,25
326,Sandesh,Mithai,207,10.4,26.8,4.4,94,Dessert,V,35
327,Modak,Mithai,234,3.3,49.3,3.8,17,Dessert,V,20
328,Shrikhand,Mithai,196,3.3,34.3,6.8,30,Dessert,V,40
329,Balushahi,Mithai,458,22.2,61.2,5.8,127,Dessert,V,30
330,Asado,Argentine,250,16.1,0,23.3,90,Meat based,NV,500
331,Empanadas,Argentine,315,20,25,7.5,620,Meat based,NV,60
332,Milanesa,Argentine,325,14,25,25,750,Meat based,NV,200
333,Locro,Argentine,163,3.3,19.8,13.3,67,Meat based,V,150
334,Chimichurri,Argentine,431,46,9,2,720,Meat based,V,30
335,Provoleta,Argentine,369,30,0,27.3,600,Milk based,V,350
336,Dulce de leche,Argentine,313,6,57.6,7,148,Dessert,V,50
337,Malbec,Argentine,83,0,2.8,0.2,4,Beverage,V,1200
338,Matambre,Argentine,200,12.5,0,25,300,Meat based,NV,350
339,Pastrami Sandwich,Deli,250,14,22,8,840,Wheat based,NV,350
340,Corned Beef Sandwich,Deli,320,16,30,10,1120,Wheat based,NV,400
341,Turkey Club Sandwich,Deli,350,18,28,21,1360,Wheat based,NV,380
342,Reuben Sandwich,Deli,360,18,34,16,1310,Wheat based,NV,400
343,Grilled Cheese Sandwich,Deli,280,14,27,10,760,Wheat based,V,250
344,Egg Salad Sandwich,Deli,280,16,18,12,330,Wheat based,V,280
345,Tuna Salad Sandwich,Deli,320,16,24,18,840,Wheat based,NV,300
346,Roast Beef Sandwich,Deli,280,16,22,11,680,Wheat based,NV,360
347,Potato Salad,Deli,143,6.5,19,2,310,Salad based,V,150
348,Macaroni Salad,Deli,167,10,14,3.4,292,Salad based,V,170
349,Coleslaw Salad,Deli,86,4.8,10,0.9,56,Salad based,V,100
350,Chicken Salad,Deli,167,9.8,6.8,11,450,Salad based,NV,300
351,Pickles,Deli,11,0,2.3,0.5,1290,Salad based,V,50
352,Bagel and Cream Cheese,Deli,280,8,43,9,530,Wheat based,V,180
353,Matzo Ball Soup,Deli,50,1.5,6,2,600,Wheat based,V,120
354,Lalap,Sunda,24,0.5,5.5,1.1,50,Vegetarian based,V,25
355,Rawon,Sunda,105,5.5,5.5,8.5,800,Meat based,NV,100
356,Nasi Timbel,Sunda,103,2.5,19.5,2.5,5,Rice based,V,70
357,Karedok,Sunda,19,0.5,3.5,1.1,35,Vegetarian based,V,30
358,Es Cendol,Sunda,121,2.5,25,0.5,10,Beverage,V,20
359,Ayam Goreng,Sunda,195,13,0.5,16,500,Meat based,NV,120
360,Empal Gentong,Sunda,120,4,5.5,16,500,Meat based,NV,110
361,Sate,Sunda,166,11,3.5,14,350,Meat based,NV,80
362,Pepes Ikan,Sunda,93,2.5,9.5,7.5,300,Sea food based,NV,90
363,Sop Buntut,Sunda,131,9.5,6.5,6,600,Meat based,NV,80
